,date,open,close,low,ma5,ma10,ma20,gt_ma,earning,stoploss_point,stoploss,earning_with_stoploss
300, 2014/12/02,2807.339,2923.939,2804.289,2806.0,2702.3,2626.125,True,140.692,2526.6051,-280.7339,140.692
301, 2014/12/01,2825.609,2819.809,2808.649,2758.4,2664.0,2605.575,True,93.142,2543.0481,-282.5609,93.142
302, 2014/11/28,2753.929,2808.819,2740.369,2724.2,2638.75,2590.2,True,355.622,2478.5361,-275.3929,355.622
303, 2014/11/27,2737.029,2754.489,2718.699,2679.2,2616.0,2575.2,True,352.332,2463.3261,-273.7029,352.332
304, 2014/11/26,2695.259,2723.019,2690.309,2635.7,2598.5,2560.925,True,423.612,2425.7331,-269.5259,423.612
305, 2014/11/25,2650.079,2685.559,2643.839,2598.6,2585.65,2547.35,True,401.502,2385.0711,-265.0079,401.502
306, 2014/11/24,2614.159,2649.259,2602.939,2569.6,2572.9,2533.875,True,439.542,2352.7431,-261.4159,439.542
307, 2014/11/21,2537.539,2583.459,2530.029,2553.3,2564.6,2519.875,True,525.782,2283.7851,-253.7539,525.782
308, 2014/11/20,2528.779,2537.099,2522.839,2552.8,2556.45,2510.225,True,508.262,2275.9011,-252.8779,508.262
309, 2014/11/19,2538.229,2537.219,2531.319,2561.3,2553.35,2503.175,True,408.482,2284.4061,-253.8229,408.482
310, 2014/11/18,2565.269,2541.419,2534.929,2572.7,2549.95,2497.225,True,398.522,2308.7421,-256.5269,398.522
311, 2014/11/17,2613.509,2567.099,2565.939,2576.2,2547.15,2491.85,True,371.252,2352.1581,-261.3509,371.252
312, 2014/11/14,2569.209,2581.089,2557.669,2575.9,2541.65,2486.2,True,379.432,2312.2881,-256.9209,379.432
313, 2014/11/13,2597.389,2579.749,2567.459,2560.1,2534.4,2479.25,True,363.942,2337.6501,-259.7389,363.942
314, 2014/11/12,2545.399,2594.319,2539.599,2545.4,2523.35,2472.5,True,355.652,2290.8591,-254.5399,355.652
315, 2014/11/11,2578.439,2558.609,2532.569,2527.2,2509.05,2465.95,True,367.652,2320.5951,-257.8439,367.652
316, 2014/11/10,2529.829,2565.729,2514.709,2518.1,2494.85,2460.375,True,323.932,2276.8461,-252.9829,323.932
317, 2014/11/07,2508.759,2502.149,2489.419,2507.4,2475.15,2454.8,True,421.592,2257.8831,-250.8759,421.592
318, 2014/11/06,2505.169,2506.069,2482.979,2508.7,2464.0,2453.05,True,435.342,2254.6521,-250.5169,435.342
319, 2014/11/05,2516.869,2503.449,2499.229,2501.3,2453.0,2451.85,True,612.022,2265.1821,-251.6869,612.022
320, 2014/11/04,2511.04,2513.169,2498.61,2490.9,2444.5,2450.6,True,602.421,2259.936,-251.104,602.421
321, 2014/11/03,2515.82,2512.55,2502.06,2471.6,2436.55,2447.5,True,565.531,2264.238,-251.582,565.531
322, 2014/10/31,2473.5,2508.32,2466.5,2442.9,2430.75,2444.25,True,700.881,2226.15,-247.35,700.881
323, 2014/10/30,2450.359,2468.929,2443.759,2419.3,2424.1,2440.7,False,0.0,2205.3231,0.0,0.0
324, 2014/10/29,2423.809,2451.379,2415.699,2404.7,2421.65,2439.1,False,0.0,2181.4281,0.0,0.0
325, 2014/10/28,2373.159,2416.649,2373.159,2398.1,2422.85,2438.6,False,0.0,2135.8431,0.0,0.0
326, 2014/10/27,2377.539,2368.829,2361.679,2401.5,2425.9,2437.75,False,0.0,2139.7851,0.0,0.0
327, 2014/10/24,2397.849,2390.709,2385.729,2418.6,2434.45,2438.25,False,0.0,2158.0641,0.0,0.0
328, 2014/10/23,2415.439,2395.939,2392.529,2428.9,2442.1,2440.0,False,0.0,2173.8951,0.0,0.0
329, 2014/10/22,2434.889,2418.639,2417.559,2438.6,2450.7,2440.625,False,0.0,2191.4001,0.0,0.0
330, 2014/10/21,2453.409,2433.389,2432.549,2447.6,2456.7,2439.775,True,908.152,2208.0681,-245.3409,908.152
331, 2014/10/20,2448.449,2454.709,2441.899,2450.3,2458.45,2437.525,False,0.0,2203.6041,0.0,0.0
332, 2014/10/17,2443.219,2441.729,2410.399,2450.3,2457.75,2436.65,True,1096.592,2198.8971,-244.3219,1096.592
333, 2014/10/16,2448.969,2444.399,2441.819,2455.3,2457.3,2436.475,False,0.0,2204.0721,0.0,0.0
334, 2014/10/15,2444.539,2463.869,2431.189,2462.8,2456.55,2435.425,True,1024.532,2200.0851,-244.4539,1024.532
335, 2014/10/14,2451.089,2446.559,2436.339,2465.8,2454.35,2433.875,False,0.0,2205.9801,0.0,0.0
336, 2014/10/13,2457.409,2454.949,2430.549,2466.6,2449.6,2433.775,True,1307.772,2211.6681,-245.7409,1307.772
337, 2014/10/10,2472.099,2466.789,2457.679,2465.2,2442.05,2433.525,True,1289.772,2224.8891,-247.2099,1289.772
338, 2014/10/09,2480.199,2481.959,2461.109,2459.3,2437.9,2431.475,True,1247.432,2232.1791,-248.0199,1247.432
339, 2014/10/08,2460.869,2478.379,2445.269,2450.3,2430.55,2427.825,True,1377.331,2214.7821,-246.0869,1377.331
340, 2014/09/30,2452.169,2450.989,2444.199,2442.9,2422.85,2423.225,True,1377.231,2206.9521,-245.2169,1377.231
341, 2014/09/29,2443.909,2447.799,2435.609,2432.6,2416.6,2418.45,True,1422.471,2199.5181,-244.3909,1422.471
342, 2014/09/26,2430.809,2437.199,2420.499,2418.9,2415.55,2412.975,True,1445.921,2187.7281,-243.0809,1445.921
343, 2014/09/25,2453.419,2436.969,2429.589,2416.5,2415.65,2406.675,False,0.0,2208.0771,0.0,0.0
344, 2014/09/24,2391.419,2441.859,2387.069,2410.8,2414.3,2401.2,False,0.0,2152.2771,0.0,0.0
